350.9778;70
351.4388;70
354.5596;70
354.5845;70
355.9508;100
356.1030;100
357.6616;70
358.1608;25
358.2355;50
358.8441;70
362.2138;25
363.9833;20
371.8206;35
372.9309;70
373.7889;50
376.5270;150
376.6119;50
377.0520;20
378.0840;25
380.3172;25
380.9456;50
385.0581;70
386.8528;35
392.5719;35
392.8623;50
393.2547;25
394.6097;70
397.9356;20
399.4792;35
401.3857;50
403.3809;50
403.5460;20
404.2894;150
405.2921;100
407.2005;200
407.2385;70
407.6628;25
407.9574;35
408.2387;25
410.3912;150
413.1724;300
415.6086;35
417.9297;35
421.8665;25
422.2637;25
422.6988;25
422.8158;100
423.7220;100
426.6527;70
427.7528;550
428.2898;20
430.0650;25
430.9239;70
433.1200;200
433.2030;50
434.8064;800
435.2205;50
436.2066;25
436.7832;50
437.0753;200
437.1329;70
437.5954;50
437.9667;150
438.5057;50
440.0097;70
440.0986;200
442.6001;400
443.0189;150
443.0996;50
443.3838;50
443.9461;20
444.8879;35
447.4759;100
448.1811;200
453.0552;20
454.5052;400
456.4405;20
457.9350;400
458.9898;400
460.9567;550
463.7233;35
465.7901;400
472.1591;20
472.6868;550
473.2053;50
473.5906;300
476.4865;800
480.6020;550
484.7810;150
486.5910;50
487.9864;800
488.9042;70
490.4752;20
493.3209;35
496.5080;200
500.9334;50
501.7163;70
506.2037;70
509.0495;20
514.1783;100
514.5308;70
516.5773;25
521.6814;20
611.4923;100
617.2278;150
624.3120;25
648.3082;25
663.8221;25
663.9740;20
664.3698;50
666.6359;25
668.4293;35
686.1269;20
738.0426;20